ID,Title,Artist,Tags,Cover,Difficulty
169,Don't Look Back In Anger,Oasis,,https://i.scdn.co/image/ab67616d00001e022f2eeee9b405f4d00428d84c,
170,Don't Lose Sight,Lawrence,,https://i.scdn.co/image/ab67616d00001e028e0ad450240054eeeda687db,
171,Don't Send Me Away,Dawes,,https://i.scdn.co/image/ab67616d00001e024ca2ff72d8628832418d69af,
172,Don't Speak,No Doubt,90s,https://i.scdn.co/image/ab67616d00001e026ebd5e789646a833b8f7d4ba,
173,Don't Start Now,Dua Lipa,Pop,https://i.scdn.co/image/ab67616d0000b27317b4fde054db6baa2956f4f4,
174,Don't Stop Believing,Journey,Rock,https://i.scdn.co/image/ab67616d00001e02c5653f9038e42efad2f8a266,
175,Don't Stop Me Now,Queen,,https://i.scdn.co/image/ab67616d00001e02008b06ec71019afd70153889,
176,Don't Tell Our Friends About Me,Blake Mills,,https://i.scdn.co/image/ab67616d00001e02504f36e65137333a50d166b4,
177,"Don't Worry, Be Happy",Bobby McFerrin,,https://i.scdn.co/image/ab67616d0000b2739b3ab5d2a99c1d7753f2d857,
178,Don't You Want Me,Human League,,https://i.scdn.co/image/ab67616d00001e025579d8a505c727349a203074,
179,Down on the Corner,Creedence Clearwater Revival,,https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5,
180,Down Under,Men At Work,"Aussie, 80s",https://i.scdn.co/image/ab67616d0000b273aa5e4c9da271951ac0b31fa2,
181,Dream a Little Dream of Me,Mama Cass,,https://i.scdn.co/image/ab67616d0000b27388cad1831fd30db7f0f1c473,
182,Dream Lover,Bobby Darin,,https://i.scdn.co/image/ab67616d0000b273862db99c6256291d040fe219,
183,Dreaming With a Broken Heart,John Mayer,,https://i.scdn.co/image/ab67616d0000b2737af5fdc5ef048a68db62b85f,
184,Dreams,The Cranberries,Bangers,https://i.scdn.co/image/ab67616d0000b273f6325f361d7803ad0d908451,
185,Dreams,Fleetwood Mac,,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,
186,Driver's License,Olivia Rodrigo,Bangers,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,
