SongID,Title,Artist,Tags,Cover,Difficulty
88,Bold As Love,Jimi Hendrix,None,https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,medium
89,Boo'd Up,Ella Mai,None,https://i.scdn.co/image/ab6761610000e5eb173a42b51755d3075d67831c,medium
90,Born and Raised,John Mayer,None,https://i.scdn.co/image/ab6761610000e5ebe926dd683e1700a6d65bd835,medium
91,Born This Way,Lady Gaga,Pop,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf,medium
92,Born to Run,Bruce Springsteen,"Bangers, Jersey",https://i.scdn.co/image/ab6761610000e5ebf7cac48c6b587b927ba73f4e,medium
93,Boy in the Bubble,Paul Simon,Bangers,https://i.scdn.co/image/ab6761610000e5ebddc148cfa465c2065846c636,medium
94,Boys of Summer,Don Henley,"Rock, 80s, 2000s",https://i.scdn.co/image/e3bb4b09ffbf0a8f420ae14837208056cf64451e,medium
95,Brass in Pocket,The Pretenders,80s,https://i.scdn.co/image/ab6761610000e5eb1b707c8d39a723170714fe20,medium
96,Brothers in Arms,Dire Straits,None,https://i.scdn.co/image/ab6761610000e5eb4bdaa8c5e65b64f50549c393,easy
97,Brown Eyed Girl,Van Morrison,60s,https://i.scdn.co/image/ab6761610000e5eb5885f6c2d3ecf8e08bdfa472,easy
98,Brown Eyed Lover,Allen Stone,None,https://i.scdn.co/image/ab6761610000e5ebc96c0d3abe790ea24035eea3,medium
99,Buddy Holly,Weezer,90s,https://i.scdn.co/image/ab6761610000e5ebcff30a7278638dfd7e2726a9,easy
100,Build Me Up Buttercup,The Foundations,Soul,https://i.scdn.co/image/ab6761610000e5eb6a2235c7e50d72aef06b7f66,easy
101,Burn,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,medium
102,Burn For You,John Farnham,"Aussie, 80s",https://i.scdn.co/image/7e5a691a3458df0b7c5c7371d673f72883d4055f,medium
103,Burn Your Name,Powderfinger,Aussie,https://i.scdn.co/image/ab6761610000e5ebbc44cbe46c31a5759843e7fc,easy
104,Burning Love,Elvis Presley,None,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c,easy
105,Cabaret,Liza Minelli,Showtunes,https://i.scdn.co/image/ab6761610000e5eb30ef5d9572b2c36b03d074e0,medium
106,Cake By The Ocean,DNCE,2020s,https://i.scdn.co/image/ab6761610000e5ebf516ed43c65fe21e21a7c5bd,medium
107,California,Phantom Planet,"2000s, Bangers",https://i.scdn.co/image/ab6761610000e5eb7a0c1e8ecd58c1fdede23a25,easy
108,California Gurls,Katy Perry,"Pop, 2000s",https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6,easy
109,Call Me,Blondie,80s,https://i.scdn.co/image/ab6761610000e5eb67dc4da82c968767d994f3c3,medium
